"Kind","Agent_Id","Queue_Id","Stream_Id","Thread_Id","Dispatch_Id","Kernel_Id","Kernel_Name","Correlation_Id","Start_Timestamp","End_Timestamp","LDS_Block_Size","Scratch_Size","VGPR_Count","Accum_VGPR_Count","SGPR_Count","Workgroup_Size_X","Workgroup_Size_Y","Workgroup_Size_Z","Grid_Size_X","Grid_Size_Y","Grid_Size_Z"
"KERNEL_DISPATCH","Agent 1",4,0,289982,1,12,"__amd_rocclr_fillBufferAligned",1,178355997521010,178355997679550,0,0,16,0,128,256,1,1,5120,1,1
"KERNEL_DISPATCH","Agent 1",4,0,289982,2,35,"void lczero::rocm_backend::copyTypeConverted_kernel<__half, float>(__half*, float*, int)",2,178356025088742,178356025096356,0,0,8,0,128,256,1,1,135168,1,1
"KERNEL_DISPATCH","Agent 1",4,0,289982,3,6,"__amd_rocclr_copyBuffer",3,178356025103049,178356025106856,0,0,16,0,128,512,1,1,512,1,1
"KERNEL_DISPATCH","Agent 1",4,0,289982,4,35,"void lczero::rocm_backend::copyTypeConverted_kernel<__half, float>(__half*, float*, int)",4,178356025126763,178356025128526,0,0,8,0,128,256,1,1,768,1,1
"KERNEL_DISPATCH","Agent 1",4,0,289982,5,6,"__amd_rocclr_copyBuffer",5,178356025138936,178356025141060,0,0,16,0,128,512,1,1,1024,1,1
"KERNEL_DISPATCH","Agent 1",4,0,289982,6,35,"void lczero::rocm_backend::copyTypeConverted_kernel<__half, float>(__half*, float*, int)",6,178356025155006,178356025156248,0,0,8,0,128,256,1,1,16384,1,1
"KERNEL_DISPATCH","Agent 1",4,0,289982,7,35,"void lczero::rocm_backend::copyTypeConverted_kernel<__half, float>(__half*, float*, int)",7,178356025201774,178356025206062,0,0,8,0,128,256,1,1,49152,1,1
"KERNEL_DISPATCH","Agent 1",4,0,289982,8,35,"void lczero::rocm_backend::copyTypeConverted_kernel<__half, float>(__half*, float*, int)",8,178356025257037,178356025268579,0,0,8,0,128,256,1,1,49152,1,1
"KERNEL_DISPATCH","Agent 1",4,0,289982,9,35,"void lczero::rocm_backend::copyTypeConverted_kernel<__half, float>(__half*, float*, int)",9,178356026193876,178356026935392,0,0,8,0,128,256,1,1,1048576,1,1
"KERNEL_DISPATCH","Agent 1",4,0,289982,10,35,"void lczero::rocm_backend::copyTypeConverted_kernel<__half, float>(__half*, float*, int)",10,178356026990903,178356027003006,0,0,8,0,128,256,1,1,589824,1,1
"KERNEL_DISPATCH","Agent 1",4,0,289982,11,6,"__amd_rocclr_copyBuffer",11,178356027005754,178356027008560,0,0,16,0,128,512,1,1,512,1,1
"KERNEL_DISPATCH","Agent 1",4,0,289982,12,35,"void lczero::rocm_backend::copyTypeConverted_kernel<__half, float>(__half*, float*, int)",12,178356027036018,178356027037060,0,0,8,0,128,256,1,1,768,1,1
"KERNEL_DISPATCH","Agent 1",4,0,289982,13,35,"void lczero::rocm_backend::copyTypeConverted_kernel<__half, float>(__half*, float*, int)",13,178356027304376,178356027325055,0,0,8,0,128,256,1,1,589824,1,1
